system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.5169355,1961,10,0.46396878,1576,1_0000f51ae57d773ac1b8,0.5338045,2290,0.48567408,1484,8,0.15444261,893,0.16458145,582,52,17.7059,
1_0,0.14692959,1353,10,0.119246826,1177,2_0000841d64b5eaec5dc4,0.2276842,2098,0.120064124,1187,-1,0.22995155,1641,0.14197306,1095,66,17.593025,
2_0,0.42530715,2481,10,0.38084772,2187,1_000001204481c17ea25e,0.44549742,2517,0.39856157,2287,12,0.11149818,817,0.113625005,701,58,17.648558,
3_0,0.7178194,1011,10,0.74013025,725,1_00002a19ca7a4240599e,0.89959556,1614,0.81122774,550,7,0.15177192,465,0.13527094,223,70,17.745127,
4_0,0.3528611,1164,10,0.35095102,890,2_0000c8890032c8728187,0.48014686,1861,0.35941374,754,-1,0.4132144,687,0.3808226,379,71,17.373732,
5_0,0.31501588,1566,10,0.27478492,1176,1_0000e3369643e96011c4,0.38269085,1716,0.2868624,1033,9,0.18473783,714,0.14821234,474,61,17.593025,
6_0,0.44784093,4740,10,0.45324388,4155,2_00003e26ef897dcf256a,0.52868396,4740,0.46402103,4239,-1,0.08360728,508,0.07460662,396,16,17.867538,
7_0,0.10726828,1306,10,0.086214446,1102,1_00003c88a0c16b302fee,0.20213707,2173,0.07831926,1038,7,0.14049387,744,0.090288565,413,73,17.19008,
8_0,0.121900365,1214,10,0.09335525,874,1_0000fd1e1df8624658e4,0.21146199,1602,0.07613798,691,14,0.041491218,451,0.018013129,222,74,17.373732,
9_0,0.73836267,1387,10,0.6865795,1128,2_0000c1f05613f14c659d,0.7872783,2196,0.7267115,1076,-1,0.40212977,1149,0.36924008,703,53,19.02668,
10_0,0.40314558,1444,10,0.3981238,1112,1_0000b47967ff841fa95a,0.4617329,2251,0.437461,973,3,0.06204747,681,0.04461037,411,68,17.52183,
11_0,0.09880757,1275,10,0.073049724,1006,2_00008b266d051f6918ee,0.1626491,1866,0.066633075,927,-1,0.14867385,1244,0.09288415,795,65,17.298813,
12_0,0.086675465,1692,10,0.06632421,1391,1_0000389eac368492a3ff,0.1812827,2493,0.05807934,1253,11,0.12749538,876,0.07250593,526,64,17.453926,
13_0,0.15375456,1567,10,0.1298366,1416,2_000089c23151424d2984,0.21977538,2146,0.14480479,1642,-1,0.27290332,2251,0.17961812,1559,23,17.996931,
14_0,0.12209485,1492,10,0.09712151,1173,1_00007ae70283aaa1ed8d,0.23622061,2222,0.08582087,1001,8,0.08897946,624,0.04577791,360,73,17.38935,
16_0,0.33325624,1543,10,0.32162806,1302,1_0000cfb00f4c58d5b6ca,0.47741437,2366,0.33553475,1195,2,0.1933369,533,0.17421195,308,66,17.270336,
17_0,0.7602471,3189,10,0.69981515,2879,2_00003e222acfc465902b,0.7765404,3488,0.7332256,3092,-1,0.22462554,1510,0.2477651,1064,19,18.743303,
18_0,0.562312,2676,10,0.51083773,2426,2_00004e5470629b2e0d67,0.57389027,3263,0.53224665,2600,-1,0.16261499,1448,0.18375084,974,23,18.91136,
19_0,0.093078814,1126,10,0.073815815,839,1_00009834eee02bcbdd52,0.21333131,1864,0.06256622,667,13,0.12942168,641,0.07376444,326,72,17.073797,
20_0,0.33929348,4353,10,0.3236072,4092,2_00002c5757f039f06ef3,0.38602835,4984,0.35805762,4427,-1,0.051270653,1247,0.035395376,940,9,17.270336,
21_0,0.4180526,1534,10,0.3740885,1173,1_000001204481c17ea25e,0.4394083,1385,0.38842273,1088,12,0.11496519,827,0.116858944,630,64,17.52183,
22_0,0.8308041,1110,10,0.7802909,849,2_00007e1b348c3debef7f,0.89644146,2215,0.82873565,678,-1,0.45643377,746,0.40558416,373,66,17.38935,
23_0,0.5939612,1074,10,0.54346997,744,1_00006f138e2e527590a5,0.610919,1424,0.564715,546,14,0.21602808,408,0.23874775,199,67,17.487465,
24_0,0.11340618,1615,10,0.0930924,1451,2_0000abbdd0ec1fcd0a08,0.21003884,2607,0.103468865,1521,-1,0.28037754,1969,0.19250041,1358,70,17.785145,
25_0,0.30639073,1511,10,0.29802585,1283,1_0000cfb00f4c58d5b6ca,0.42905214,2414,0.3060641,1168,2,0.19568512,536,0.17387275,294,69,17.358324,
27_0,0.09458114,1338,10,0.077099934,1074,1_0000ae99dff6827ed258,0.21551456,1980,0.077856585,947,1,0.19252807,837,0.11545422,504,65,17.487465,
28_0,0.3981537,2012,10,0.35922983,1760,1_00006a3f5827478dacbe,0.429823,2558,0.37452552,1771,3,0.12959078,979,0.124987505,696,59,18.85468,
