system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
15_0,0.28586623,1970,4,0,0.23090091,1285,1_000050bae147b6149018,0.34720656,1308,0.25235838,1129,0.14141709,736,0.120192856,624,
40_0,0.15991986,1941,4,-1,0.08914313,1153,2_000020067735e9ca6727,0.0455452,819,0.062963486,879,0.009162264,188,0.0062816753,139,
65_0,0.28081465,5221,4,-1,0.22408213,4953,2_0000a174d3c4718f212c,0.29372162,7319,0.24377647,5751,0.06085442,1087,0.060743727,1101,
85_0,0.2775431,4310,4,-1,0.2254678,3951,2_000044bec0b2db7b7229,0.32332158,6024,0.24580851,4534,0.08147352,1107,0.07702251,1027,
104_0,0.19609985,7966,4,-1,0.16863704,7183,2_00000b41fc994f1539a5,0.25869077,8458,0.17100833,7590,0.09463085,3313,0.07494366,3079,
127_0,0.22667024,1767,4,6,0.16703305,1171,1_00000e0643e441a6d028,0.22048406,1485,0.16112822,1005,0.105002835,214,0.09168571,192,
130_0,0.19368544,6216,4,-1,0.12151782,5551,2_00005c27a53c6ff8a5b9,0.110758096,7121,0.105290115,6256,0.022733722,1106,0.021013733,1174,
137_0,0.35025495,1695,4,2,0.27439004,1093,1_000025582eae3c7c1fb2,0.33525634,1319,0.282284,908,0.15773009,237,0.13907346,199,
142_0,0.22373596,3023,4,-1,0.15079647,2329,2_0000c9551ee911c6678d,0.16955787,3025,0.13946846,2307,0.043149214,408,0.03709187,409,
150_0,0.28554696,2724,4,-1,0.26994058,2378,2_00002b6cd6eabd9e799a,0.42363304,3991,0.28824914,2569,0.12937295,1217,0.09959401,945,
194_0,0.28719002,3333,4,-1,0.25084573,2912,2_0000601f80b72ca8f914,0.33907706,4088,0.27158886,3177,0.10505954,1082,0.085309744,945,
234_0,0.22533602,1687,4,8,0.16353014,1045,1_00003d50999ea5f79022,0.18716422,875,0.1554237,843,0.087099954,232,0.076023325,196,
257_0,0.2429513,1920,4,0,0.17204839,1233,1_00006af112204c5cdb10,0.21962798,1340,0.1690941,1080,0.07502335,768,0.06701568,659,
259_0,0.32061797,2061,4,0,0.26417553,1468,1_0000438ef047ef07d59e,0.37340644,1829,0.2906086,1397,0.120192856,1002,0.10853119,855,
272_0,0.34885186,1694,4,2,0.27009156,1074,1_000025582eae3c7c1fb2,0.33091933,1268,0.27615187,879,0.15700632,230,0.13939369,190,
313_0,0.31710687,5093,4,-1,0.29449394,4598,2_00009cdd41a96fcacd2c,0.46476287,5695,0.35304216,5078,0.187214,892,0.14017677,936,
318_0,0.25532684,2590,4,-1,0.22433469,2265,2_000020324a08238601dd,0.36721846,3671,0.24143001,2425,0.10918944,1174,0.08426337,932,
322_0,0.18682954,6937,4,-1,0.11362091,6274,2_00005c27a53c6ff8a5b9,0.10506281,7870,0.09638217,7095,0.022958066,1072,0.021238081,1249,
336_0,0.32249492,3107,4,-1,0.2967968,2812,2_0000f6e5bafcd580d50b,0.42639035,4422,0.33479252,3167,0.11922605,1433,0.09578892,1128,
350_0,0.21968848,6604,4,-1,0.14520854,5973,2_0000a377aafb05cdaa94,0.18758589,7357,0.1368748,6698,0.045619983,840,0.035300065,982,
358_0,0.38827625,5916,4,-1,0.34714058,5452,2_0000f0428a24c3337fd8,0.49403697,6978,0.39744997,6083,0.1424556,1068,0.11429169,1034,
