system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.109106645,1403,7,0.071639046,1000,1_0000a95156509e006ca1,0.15579265,2085,0.050085396,825,9,0.033280153,470,0.01886976,276,73,17.453926,
1_0,0.27639684,2889,7,0.23334202,2497,2_00007903cf5a6e2d9c91,0.2948608,2995,0.24655801,2681,-1,0.104437485,878,0.096465856,794,67,17.680191,
2_0,0.11550099,1235,7,0.077982284,835,1_000031b9ed18748f3a44,0.18431415,1794,0.062141787,635,8,0.060548406,402,0.039356463,223,74,17.42122,
3_0,0.42217922,1559,7,0.3651424,1088,1_0000c3e45707791fb66a,0.44162834,1834,0.37999734,930,7,0.13826555,521,0.13568264,359,69,17.629845,
4_0,0.16708757,1462,7,0.12148368,979,2_0000f38f18f0143a22be,0.15661557,910,0.10978713,892,-1,0.04699733,332,0.038974427,323,68,17.487465,
5_0,0.31743822,1638,7,0.26052305,1148,1_0000a67e66a17e631b59,0.304196,1505,0.26260847,1037,11,0.110955864,694,0.10690879,544,66,17.42122,
6_0,0.15339883,1763,7,0.11647527,1320,2_00000daf0d1fc2e07d35,0.1673868,1924,0.106941566,1195,-1,0.055443943,578,0.041729476,406,69,17.328142,
7_0,0.111742795,1419,7,0.07445728,1036,1_0000ce6d46e12c94e8e1,0.18757427,2341,0.05373417,849,9,0.041134194,459,0.021392692,268,63,17.487465,
8_0,0.19800574,1383,7,0.12557997,894,1_0000c325ef84992a6b13,0.13208778,979,0.09694555,685,1,0.017886005,171,0.01494699,109,69,18.041588,
9_0,0.7411982,7935,7,0.6704852,7245,2_0000799c4b5590ee28a3,0.7877221,8188,0.7311611,7895,-1,0.15374559,778,0.16421029,824,7,17.298813,
10_0,0.55548877,5553,7,0.5006135,5234,2_000024dcdfbb6816fad6,0.6102295,6303,0.5460589,5821,-1,0.15612632,807,0.16486457,798,25,18.0642,
