system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
3_0,0.35189217,0.4017664,1935,6,8,0.28535953,0.32749805,1468,1_00004a458e4c7cd4ad80,0.3760758,0.3903138,2211,0.30143452,0.34195837,1345,0.19671762,0.1378939,318,0.18643638,0.13818312,272,
4_0,0.48803467,0.4745987,6988,6,-1,0.43015516,0.40217876,6667,2_00005589f4cb895f5898,0.52426004,0.44775477,8010,0.4687851,0.41888285,7413,0.11281991,0.09403271,638,0.09710535,0.09483434,704,
5_0,0.29395467,0.33208,1352,6,8,0.23220742,0.27575627,903,1_00008e110e7dafef59c9,0.29986322,0.3409585,1413,0.23414671,0.28161535,724,0.13091885,0.16395202,333,0.11240276,0.15440881,237,
7_0,0.53415656,0.71603376,7036,6,-1,0.46225908,0.6504505,6290,2_0000980dc829ea5ddf79,0.5900138,0.77203673,7362,0.5136449,0.71792614,6881,0.06834875,0.07185174,749,0.07147165,0.08066319,809,
8_0,0.13257797,0.25110143,1254,6,9,0.08227529,0.19604033,825,1_0000ce6d46e12c94e8e1,0.16110657,0.28220418,2088,0.061465163,0.19065273,619,0.033542477,0.05249317,386,0.022724148,0.04491838,227,
9_0,0.23431097,0.20863974,1524,6,11,0.17401943,0.15174074,1099,1_000012e70a9134fec4f4,0.2089682,0.16454428,1684,0.16639319,0.13791272,973,0.08014597,0.046640363,309,0.06905283,0.03417719,247,
10_0,0.13381928,0.22950518,2060,6,8,0.08449633,0.18277973,1736,1_000031b9ed18748f3a44,0.19289134,0.28813812,3577,0.06901278,0.17815644,1753,0.066762805,0.08421521,891,0.04204898,0.06363094,583,
11_0,0.42039645,0.30013978,1452,6,-1,0.3538416,0.25104153,957,2_000053696eb42e095f8f,0.42878568,0.31839153,1244,0.37471586,0.25771248,787,0.22337547,0.11767571,412,0.1975821,0.1135664,295,
12_0,0.47938064,0.4738023,7595,6,-1,0.43617898,0.40688232,7429,2_00008258441dc94635fd,0.6822707,0.47221547,9432,0.513059,0.43418655,8508,0.22994629,0.08902601,-124,0.22269346,0.0853052,202,
13_0,0.32788533,0.40997988,1776,6,9,0.2572566,0.35306394,1344,1_0000b55607bbdddaea2f,0.3698743,0.4586245,2612,0.2729572,0.38013372,1272,0.1303154,0.17716822,424,0.12415728,0.17473888,361,
14_0,0.54698247,0.33727688,5845,6,-1,0.47724736,0.2731534,5079,2_0000978541b57c333688,0.6141403,0.4327077,6201,0.5223138,0.29503083,5516,0.23181216,0.09995717,550,0.23961778,0.08273184,612,
15_0,0.26430336,0.30333623,2095,6,0,0.2072616,0.25727034,1574,1_000050bae147b6149018,0.2866273,0.36919564,1771,0.21607172,0.2843366,1539,0.12923986,0.12571114,795,0.107363895,0.110162996,694,
