system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.33290967,1556,9,11,0.34081298,1235,1_0000d5d88c220cf2eb8f,0.510016,2334,0.35108733,1096,0.09929451,502,0.08255383,314,
1_0,0.26756352,2395,9,11,0.24212918,2062,1_0000e7f6d0960a13a2f8,0.38841256,3324,0.24909848,2039,0.18684182,750,0.17987253,533,
2_0,0.30955264,1415,9,-1,0.2670513,1049,2_0000b87c258df7e350ab,0.33114728,1504,0.27083623,965,0.1474007,926,0.13328674,683,
3_0,0.4284129,3618,9,9,0.3903922,3502,1_00004a03f759c29db38c,0.5750193,4822,0.4323545,3797,0.21940377,642,0.1654423,454,
4_0,0.21283934,1289,9,-1,0.1783638,984,2_0000729af588085d2be8,0.30176502,1960,0.17968413,838,0.19788341,688,0.17149076,411,
5_0,0.267299,2681,9,14,0.22209841,2256,1_00005b7d1d91c4c7b621,0.2543544,2198,0.22371648,2304,0.106019095,583,0.090260446,552,
6_0,0.27019393,1459,9,10,0.23015101,1153,1_00008d96978dc9cd52e9,0.30936563,1514,0.22879185,1116,0.12539117,660,0.10472498,483,
7_0,0.348723,4215,9,9,0.3122384,4142,1_000085b3d6a02fea06fe,0.41763142,5350,0.3265664,4464,0.17727184,627,0.15086211,471,
8_0,0.22934103,1346,9,0,0.18943316,989,1_0000987e7a6192222d61,0.26736158,1574,0.18611051,877,0.09766337,852,0.07525732,578,
9_0,0.1275212,1725,9,11,0.08490759,1294,1_0000d6b7b515a2121c1a,0.13146296,1647,0.06850136,1169,0.05816756,493,0.03899144,370,
10_0,0.22087368,1308,9,8,0.16813977,929,1_00004f849500be1ea36d,0.18566884,1503,0.15845844,830,0.05706117,479,0.04675642,292,
11_0,0.38599604,2579,9,-1,0.36864692,2416,2_000013036eab25291306,0.4982334,3596,0.40441936,2672,0.13193907,1593,0.10428577,1130,
12_0,0.13087189,1570,9,-1,0.09365442,1214,2_00006d04e81b70766c84,0.1811658,1876,0.08133241,1127,0.08043431,607,0.057837974,439,
13_0,0.22626957,2224,9,9,0.1971676,1946,1_000025abd45a5e4bcddb,0.2758922,2970,0.19269037,1909,0.18495698,426,0.15453218,270,
14_0,0.31985554,1673,9,10,0.27859285,1359,1_0000a1a58ffe5d93a5a7,0.35240567,2006,0.2840992,1365,0.14696348,1163,0.12828374,866,
15_0,0.36995184,1884,9,11,0.32626525,1658,1_0000ff44dc3314642f9a,0.4070236,2976,0.33257914,1622,0.14899251,604,0.1449779,364,
16_0,0.17888752,1593,9,8,0.14061038,1239,1_00001cbce58ff06b4382,0.21742159,2018,0.13199033,1123,0.07224988,735,0.05932761,547,
17_0,0.15769461,1504,9,0,0.11481186,1116,1_00009cdc52a1c0ad04ca,0.132568,1206,0.104560204,1024,0.059834834,534,0.04405532,396,
18_0,0.37881312,3319,9,-1,0.33703616,3025,2_0000caaf5c18331706cf,0.39931172,3492,0.3538934,3248,0.12764339,817,0.11954342,667,
19_0,0.5278719,1799,9,9,0.49592078,1490,1_000035e9c9f1c5ad4f6e,0.55845064,2752,0.5106283,1370,0.45136485,458,0.38156724,247,
20_0,0.14065814,2244,9,8,0.11468898,1979,1_0000f41c478af0c7dc55,0.22194116,3096,0.08999377,2014,0.054604832,542,0.028778402,405,
